bolum_id,bolum_adi
35622,UN VE UNLU MAMULLER TEKNOLOJİSİ
35665,UZAKTAN ALGILAMA VE COĞRAFİ BİLGİ SİSTEMLERİ
35702,ÜRETİMDE KALİTE KONTROL
38036,WEB TASARIMI VE KODLAMA
88036,WEB TASARIMI VE KODLAMA
35753,YAĞ ENDÜSTRİSİ
320734,YAPAY ZEKA OPERATÖRLÜĞÜ
35768,YAPI DENETİMİ
35781,YAPI RESSAMLIĞI
35784,YAPI TESİSAT TEKNOLOJİSİ
35787,YAPI YALITIM TEKNOLOJİSİ
320853,YAPI YÜZEYİ TASARIM TEKNİKERLİĞİ
37263,YAŞLI BAKIMI
87263,YAŞLI BAKIMI
35806,YAT KAPTANLIĞI
85836,YENİ MEDYA VE GAZETECİLİK
320898,YENİLENEBİLİR ENERJİ TEKNİKERLİĞİ
85853,YEREL YÖNETİMLER
35853,YEREL YÖNETİMLER
320906,YEŞİL VE EKOLOJİK BİNA TEKNİKERLİĞİ
35901,ZEYTİNCİLİK VE ZEYTİN İŞLEME TEKNOLOJİSİ
