bolum_id,bolum_adi
13217,HAVACILIK ELEKTRİK VE ELEKTRONİĞİ
13220,HAVACILIK VE UZAY MÜHENDİSLİĞİ
63221,HAVACILIK YÖNETİMİ
13221,HAVACILIK YÖNETİMİ
23221,HAVACILIK YÖNETİMİ
23245,HAYVANSAL ÜRETİM VE TEKNOLOJİLERİ
13245,HAYVANSAL ÜRETİM VE TEKNOLOJİLERİ
13264,HEMŞİRELİK
23264,HEMŞİRELİK
13288,HİDROJEOLOJİ MÜHENDİSLİĞİ
13297,HİNDOLOJİ
13305,HİTİTOLOJİ
13309,HUKUK
13314,HUNGAROLOJİ
120054,İBRANİ DİLİ VE KÜLTÜRÜ
13338,İÇ MİMARLIK
13339,İÇ MİMARLIK VE ÇEVRE TASARIMI
120716,İKLİM BİLİMİ VE METEOROLOJİ MÜHENDİSLİĞİ
17521,İKTİSADİ VE İDARİ BİLİMLER PROGRAMLARI
63353,İKTİSAT
13353,İKTİSAT
13367,İLAHİYAT
43367,İLAHİYAT
13379,İLETİŞİM
13381,İLETİŞİM BİLİMLERİ
13396,İLETİŞİM TASARIMI VE YÖNETİMİ
120019,İLETİŞİM VE TASARIMI
13410,İLKÖĞRETİM MATEMATİK ÖĞRETMENLİĞİ
13419,İMALAT MÜHENDİSLİĞİ
13430,İNGİLİZ DİLBİLİMİ
13431,İNGİLİZ DİLİ VE EDEBİYATI
120056,İNGİLİZCE MÜTERCİM VE TERCÜMANLIK
13441,İNGİLİZCE ÖĞRETMENLİĞİ
120057,"İNGİLİZCE, FRANSIZCA MÜTERCİM VE TERCÜMANLIK"
13461,İNSAN KAYNAKLARI YÖNETİMİ
63461,İNSAN KAYNAKLARI YÖNETİMİ
43468,İNŞAAT MÜHENDİSLİĞİ
13468,İNŞAAT MÜHENDİSLİĞİ
120058,İSLAM İKTİSADI VE FİNANS
13510,İSLAMİ İLİMLER
43510,İSLAMİ İLİMLER
13512,İSPANYOL DİLİ VE EDEBİYATI
120720,İSPANYOLCA MÜTERCİM VE TERCÜMANLIK
13519,İSTATİSTİK
13522,İSTATİSTİK VE BİLGİSAYAR BİLİMLERİ
13528,İŞ SAĞLIĞI VE GÜVENLİĞİ
23528,İŞ SAĞLIĞI VE GÜVENLİĞİ
63528,İŞ SAĞLIĞI VE GÜVENLİĞİ
13549,İŞLETME
63549,İŞLETME
13559,İŞLETME MÜHENDİSLİĞİ
13575,İTALYAN DİLİ VE EDEBİYATI
13581,JAPON DİLİ VE EDEBİYATI
120414,JAPONCA MÜTERCİM VE TERCÜMANLIK
13580,JAPONCA ÖĞRETMENLİĞİ
13592,JEOFİZİK MÜHENDİSLİĞİ
13594,JEOLOJİ MÜHENDİSLİĞİ
13638,KAMU YÖNETİMİ
63638,KAMU YÖNETİMİ
13645,KANATLI HAYVAN YETİŞTİRİCİLİĞİ
13675,KARŞILAŞTIRMALI EDEBİYAT
13725,KENTSEL TASARIM VE PEYZAJ MİMARLIĞI
13743,KİMYA
13749,KİMYA MÜHENDİSLİĞİ
13747,KİMYA ÖĞRETMENLİĞİ
13754,KİMYA-BİYOLOJİ MÜHENDİSLİĞİ
13765,KLASİK ARKEOLOJİ
13834,KONTROL VE OTOMASYON MÜHENDİSLİĞİ
13841,KORE DİLİ VE EDEBİYATI
120061,"KURGU, SES VE GÖRÜNTÜ YÖNETİMİ"
120076,KUYUMCULUK VE MÜCEVHER TASARIMI
23895,KÜLTÜR VARLIKLARINI KORUMA VE ONARIM
13895,KÜLTÜR VARLIKLARINI KORUMA VE ONARIM
13897,KÜLTÜR VE İLETİŞİM BİLİMLERİ
13915,KÜRESEL SİYASET VE ULUSLARARASI İLİŞKİLER
13920,KÜRT DİLİ VE EDEBİYATI
13934,LATİN DİLİ VE EDEBİYATI
13937,LEH DİLİ VE EDEBİYATI
13951,LOJİSTİK YÖNETİMİ
23951,LOJİSTİK YÖNETİMİ
13961,MADEN MÜHENDİSLİĞİ
13987,MAKİNE MÜHENDİSLİĞİ
43987,MAKİNE MÜHENDİSLİĞİ
64018,MALİYE
14018,MALİYE
14028,MALZEME BİLİMİ VE MÜHENDİSLİĞİ
14029,MALZEME BİLİMİ VE NANOTEKNOLOJİ MÜHENDİSLİĞİ
17586,MALZEME BİLİMİ VE TEKNOLOJİLERİ
14051,MATEMATİK
14053,MATEMATİK MÜHENDİSLİĞİ
14052,MATEMATİK ÖĞRETMENLİĞİ
14054,MATEMATİK VE BİLGİSAYAR BİLİMLERİ
14075,MEDYA VE GÖRSEL SANATLAR
14076,MEDYA VE İLETİŞİM
14095,MEKATRONİK MÜHENDİSLİĞİ
44095,MEKATRONİK MÜHENDİSLİĞİ
44118,METALURJİ VE MALZEME MÜHENDİSLİĞİ
14118,METALURJİ VE MALZEME MÜHENDİSLİĞİ
14156,MİMARLIK
24186,MODA TASARIMI
14186,MODA TASARIMI
44186,MODA TASARIMI
14207,MOLEKÜLER BİYOLOJİ VE GENETİK
14209,MOLEKÜLER BİYOTEKNOLOJİ
24230,MUHASEBE VE FİNANS YÖNETİMİ
14230,MUHASEBE VE FİNANS YÖNETİMİ
14256,MÜHENDİSLİK VE DOĞA BİLİMLERİ PROGRAMLARI
19882,MÜTERCİM-TERCÜMANLIK
14271,MÜZECİLİK
14297,NANOBİLİM VE NANOTEKNOLOJİ
14300,NANOTEKNOLOJİ MÜHENDİSLİĞİ
14333,NÜKLEER ENERJİ MÜHENDİSLİĞİ
24346,ODYOLOJİ
14346,ODYOLOJİ
14352,OKUL ÖNCESİ ÖĞRETMENLİĞİ
14372,OPTİK VE AKUSTİK MÜHENDİSLİĞİ
14392,ORGANİK TARIM İŞLETMECİLİĞİ
24392,ORGANİK TARIM İŞLETMECİLİĞİ
14401,ORMAN ENDÜSTRİSİ MÜHENDİSLİĞİ
14409,ORMAN MÜHENDİSLİĞİ
120064,ORTEZ VE PROTEZ
14480,OTEL YÖNETİCİLİĞİ
44498,OTOMOTİV MÜHENDİSLİĞİ
14498,OTOMOTİV MÜHENDİSLİĞİ
18660,ÖZEL EĞİTİM ÖĞRETMENLİĞİ
14551,PAZARLAMA
24551,PAZARLAMA
14604,PERFÜZYON
14617,PETROL VE DOĞALGAZ MÜHENDİSLİĞİ
14621,PEYZAJ MİMARLIĞI
14630,PİLOTAJ
24630,PİLOTAJ
120065,POLİMER MALZEME MÜHENDİSLİĞİ
19625,POLİTİKA VE EKONOMİ
14659,PROTOHİSTORYA VE ÖN ASYA ARKEOLOJİSİ
14679,PSİKOLOJİ
19870,PSİKOLOJİK DANIŞMANLIK VE REHBERLİK ÖĞRETMENLİĞİ
17668,"RADYO, TELEVİZYON VE SİNEMA"
14719,RAYLI SİSTEMLER MÜHENDİSLİĞİ
14727,REHBERLİK VE PSİKOLOJİK DANIŞMANLIK
14733,REKLAM TASARIMI VE İLETİŞİMİ
14734,REKLAMCILIK
64734,REKLAMCILIK
64738,REKREASYON
14738,REKREASYON
14740,REKREASYON YÖNETİMİ
24740,REKREASYON YÖNETİMİ
44740,REKREASYON YÖNETİMİ
14775,RUS DİLİ VE EDEBİYATI
120066,RUSÇA MÜTERCİM VE TERCÜMANLIK
17566,SAÇ VE GÜZELLİK UYGULAMALARI
24818,SAĞLIK YÖNETİMİ
14818,SAĞLIK YÖNETİMİ
64818,SAĞLIK YÖNETİMİ
14846,SANAT TARİHİ
14849,SANAT VE KÜLTÜR YÖNETİMİ
14850,SANAT VE SOSYAL BİLİMLER PROGRAMLARI
14899,SERMAYE PİYASASI
14907,SEYAHAT İŞLETMECİLİĞİ
14908,SEYAHAT İŞLETMECİLİĞİ VE TURİZM REHBERLİĞİ
14915,SINIF ÖĞRETMENLİĞİ
14917,SIRP DİLİ VE EDEBİYATI
120510,SİBER GÜVENLİK MÜHENDİSLİĞİ
420510,SİBER GÜVENLİK MÜHENDİSLİĞİ
14920,SİGORTACILIK
24920,SİGORTACILIK
17345,SİGORTACILIK VE AKTÜERYA BİLİMLERİ
14922,SİGORTACILIK VE RİSK YÖNETİMİ
14923,SİGORTACILIK VE SOSYAL GÜVENLİK
14928,SİNEMA VE DİJİTAL MEDYA
19332,SİNEMA VE TELEVİZYON
14934,SİNOLOJİ
14966,SİYASET BİLİMİ
64967,SİYASET BİLİMİ VE KAMU YÖNETİMİ
14967,SİYASET BİLİMİ VE KAMU YÖNETİMİ
14968,SİYASET BİLİMİ VE ULUSLARARASI İLİŞKİLER
64968,SİYASET BİLİMİ VE ULUSLARARASI İLİŞKİLER
14990,SOSYAL BİLGİLER ÖĞRETMENLİĞİ
25004,SOSYAL HİZMET
15004,SOSYAL HİZMET
65004,SOSYAL HİZMET
15023,SOSYOLOJİ
65023,SOSYOLOJİ
15042,SPOR YÖNETİCİLİĞİ
25042,SPOR YÖNETİCİLİĞİ
18935,SU BİLİMLERİ VE MÜHENDİSLİĞİ
120586,SU ÜRÜNLERİ ENDÜSTRİSİ MÜHENDİSLİĞİ
15074,SU ÜRÜNLERİ MÜHENDİSLİĞİ
15086,SÜMEROLOJİ
17191,SÜRYANİ DİLİ VE EDEBİYATI
15099,SÜT TEKNOLOJİSİ
15109,ŞEHİR VE BÖLGE PLANLAMA
18409,TAKI TASARIMI VE İMALATI
220086,TAPU KADASTRO
15130,TARIM EKONOMİSİ
15135,TARIM MAKİNELERİ VE TEKNOLOJİLERİ MÜHENDİSLİĞİ
19624,TARIM TİCARETİ VE İŞLETMECİLİĞİ
15145,TARIMSAL BİYOTEKNOLOJİ
15148,TARIMSAL GENETİK MÜHENDİSLİĞİ
15161,TARIMSAL YAPILAR VE SULAMA
15163,TARİH
65163,TARİH
15164,TARİH ÖĞRETMENLİĞİ
15165,TARİH ÖNCESİ ARKEOLOJİSİ
15169,TARLA BİTKİLERİ
15211,TEKNOLOJİ VE BİLGİ YÖNETİMİ
45224,TEKSTİL MÜHENDİSLİĞİ
15224,TEKSTİL MÜHENDİSLİĞİ
45225,TEKSTİL TASARIMI
15225,TEKSTİL TASARIMI
14191,TEKSTİL VE MODA TASARIMI
24191,TEKSTİL VE MODA TASARIMI
64191,TEKSTİL VE MODA TASARIMI
15241,TELEVİZYON HABERCİLİĞİ VE PROGRAMCILIĞI
15370,TIP
15395,TİYATRO ELEŞTİRMENLİĞİ VE DRAMATURJİ
15400,TOHUM BİLİMİ VE TEKNOLOJİSİ
15426,TOPRAK BİLİMİ VE BİTKİ BESLEME
15446,TURİZM İŞLETMECİLİĞİ
25446,TURİZM İŞLETMECİLİĞİ
15448,TURİZM REHBERLİĞİ
25448,TURİZM REHBERLİĞİ
120929,TURİZM VE GASTRONOMİ YÖNETİMİ PROGRAMLARI
17256,TURİZM VE OTEL İŞLETMECİLİĞİ
15468,TÜRK DİLİ VE EDEBİYATI
65468,TÜRK DİLİ VE EDEBİYATI
15469,TÜRK DİLİ VE EDEBİYATI ÖĞRETMENLİĞİ
15483,TÜRK HALKBİLİMİ
15523,TÜRK İSLAM ARKEOLOJİSİ
15518,TÜRKÇE ÖĞRETMENLİĞİ
17167,TÜRKOLOJİ
25533,TÜTÜN EKSPERLİĞİ
28367,UÇAK BAKIM VE ONARIM
18367,UÇAK BAKIM VE ONARIM
220077,UÇAK ELEKTRİK VE ELEKTRONİĞİ
120073,UÇAK GÖVDE VE MOTOR BAKIMI
220073,UÇAK GÖVDE VE MOTOR BAKIMI
15548,UÇAK MÜHENDİSLİĞİ
15554,UKRAYNA DİLİ VE EDEBİYATI
15568,ULUSLARARASI FİNANS
15569,ULUSLARARASI FİNANS VE BANKACILIK
65573,ULUSLARARASI GİRİŞİMCİLİK
15573,ULUSLARARASI GİRİŞİMCİLİK
65581,ULUSLARARASI İLİŞKİLER
15581,ULUSLARARASI İLİŞKİLER
15590,ULUSLARARASI İŞLETME YÖNETİMİ
15607,ULUSLARARASI TİCARET
17358,ULUSLARARASI TİCARET VE FİNANS
25612,ULUSLARARASI TİCARET VE FİNANSMAN
15612,ULUSLARARASI TİCARET VE FİNANSMAN
15614,ULUSLARARASI TİCARET VE İŞLETMECİLİK
25614,ULUSLARARASI TİCARET VE İŞLETMECİLİK
65615,ULUSLARARASI TİCARET VE LOJİSTİK
25615,ULUSLARARASI TİCARET VE LOJİSTİK
15615,ULUSLARARASI TİCARET VE LOJİSTİK
15623,URDU DİLİ VE EDEBİYATI
15670,UZAY BİLİMLERİ VE TEKNOLOJİLERİ
15673,UZAY MÜHENDİSLİĞİ
220529,VERİ BİLİMİ VE ANALİTİĞİ
120529,VERİ BİLİMİ VE ANALİTİĞİ
17371,VETERİNER
15744,YABAN HAYATI EKOLOJİSİ VE YÖNETİMİ
19731,YAPAY ZEKA MÜHENDİSLİĞİ
220722,YAPAY ZEKA VE MAKİNE ÖĞRENMESİ
120722,YAPAY ZEKA VE MAKİNE ÖĞRENMESİ
120020,YAPAY ZEKA VE VERİ MÜHENDİSLİĞİ
19623,YAZILIM GELİŞTİRME
29623,YAZILIM GELİŞTİRME
15821,YAZILIM MÜHENDİSLİĞİ
45821,YAZILIM MÜHENDİSLİĞİ
15835,YENİ MEDYA
18314,YENİ MEDYA VE İLETİŞİM
15853,YEREL YÖNETİMLER
15861,YİYECEK VE İÇECEK İŞLETMECİLİĞİ
19640,YÖNETİM BİLİMLERİ PROGRAMLARI
15874,YÖNETİM BİLİŞİM SİSTEMLERİ
25874,YÖNETİM BİLİŞİM SİSTEMLERİ
65874,YÖNETİM BİLİŞİM SİSTEMLERİ
15888,YUNAN DİLİ VE EDEBİYATI
15897,ZAZA DİLİ VE EDEBİYATI
19641,ZİRAAT MÜHENDİSLİĞİ PROGRAMLARI
15906,ZOOTEKNİ
